dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
12/10/2024,9,221,103,8,0.0362,0.0777
12/10/2024,8,213,81,6,0.0282,0.0741
12/10/2024,7,242,112,3,0.0124,0.0268
12/10/2024,6,118,60,1,0.0085,0.0167
12/10/2024,5,103,17,0,0,0
12/10/2024,4,114,21,0,0,0
12/10/2024,3,110,8,0,0,0
12/10/2024,2,108,27,3,0.0278,0.1111
12/10/2024,1,103,18,1,0.0097,0.0556
12/10/2024,0,105,26,1,0.0095,0.0385
13/10/2024,23,160,43,7,0.0438,0.1628
13/10/2024,22,248,115,23,0.0927,0.2
13/10/2024,21,246,131,14,0.0569,0.1069
13/10/2024,20,297,155,28,0.0943,0.1806
13/10/2024,19,331,167,29,0.0876,0.1737
13/10/2024,18,357,150,27,0.0756,0.18
13/10/2024,17,296,156,20,0.0676,0.1282
13/10/2024,16,317,141,24,0.0757,0.1702
13/10/2024,15,328,147,22,0.0671,0.1497
13/10/2024,14,264,131,15,0.0568,0.1145
13/10/2024,13,271,143,14,0.0517,0.0979
13/10/2024,12,267,145,18,0.0674,0.1241
13/10/2024,11,259,125,12,0.0463,0.096
13/10/2024,10,319,102,10,0.0313,0.098
13/10/2024,9,321,105,14,0.0436,0.1333
13/10/2024,8,176,65,6,0.0341,0.0923
13/10/2024,7,181,77,0,0,0
13/10/2024,6,122,54,1,0.0082,0.0185
13/10/2024,5,89,7,1,0.0112,0.1429
13/10/2024,4,87,15,0,0,0
13/10/2024,3,80,8,0,0,0
13/10/2024,2,83,15,0,0,0
13/10/2024,1,127,25,1,0.0079,0.04
13/10/2024,0,121,30,1,0.0083,0.0333
14/10/2024,23,298,73,8,0.0268,0.1096
14/10/2024,22,365,134,21,0.0575,0.1567
14/10/2024,21,360,144,20,0.0556,0.1389
14/10/2024,20,428,211,24,0.0561,0.1137
14/10/2024,19,475,204,34,0.0716,0.1667
14/10/2024,18,517,226,44,0.0851,0.1947
14/10/2024,17,559,264,47,0.0841,0.178
14/10/2024,16,684,314,80,0.117,0.2548
14/10/2024,15,651,337,63,0.0968,0.1869
